INSERT INTO Modele VALUES(1,'PRO 100');
INSERT INTO Modele VALUES(2,'PRO 200');
INSERT INTO Modele VALUES(3,'PRO 300');
INSERT INTO Modele VALUES(4,'ULTRA');
INSERT INTO Modele VALUES(5,'ULTRA X');
INSERT INTO Modele VALUES(6,'MAX');
INSERT INTO Modele VALUES(7,'MAX PLUS');
INSERT INTO Modele VALUES(8,'CHEF EDITION');
INSERT INTO Modele VALUES(9,'HOME');
INSERT INTO Modele VALUES(10,'HOME PLUS');
INSERT INTO Modele VALUES(11,'SMARTCOOK');
INSERT INTO Modele VALUES(12,'SMARTCOOK X');
INSERT INTO Modele VALUES(13,'KITCHENMASTER');
INSERT INTO Modele VALUES(14,'FOODPRO');
INSERT INTO Modele VALUES(15,'COOKEXPERT');
INSERT INTO Modele VALUES(16,'HEATMASTER');
INSERT INTO Modele VALUES(17,'TURBOMIX');
INSERT INTO Modele VALUES(18,'POWERBLEND');
INSERT INTO Modele VALUES(19,'FRESHJUICE');
INSERT INTO Modele VALUES(20,'STEAMPRO');
INSERT INTO Modele VALUES(21,'RICEMASTER');
INSERT INTO Modele VALUES(22,'BAKEPRO');
INSERT INTO Modele VALUES(23,'ICEDREAM');
INSERT INTO Modele VALUES(24,'COFFEEMASTER');
INSERT INTO Modele VALUES(25,'GRILLPRO');
INSERT INTO Modele VALUES(26,'AIRFRY 3000');
INSERT INTO Modele VALUES(27,'AIRFRY 5000');
INSERT INTO Modele VALUES(28,'MULTICOOK 10');
INSERT INTO Modele VALUES(29,'MULTICOOK 20');
INSERT INTO Modele VALUES(30,'EASYCOOK');
INSERT INTO Modele VALUES(31,'QUICKCHEF');
INSERT INTO Modele VALUES(32,'PROCHEF');
INSERT INTO Modele VALUES(33,'SILVER EDITION');
INSERT INTO Modele VALUES(34,'BLACK EDITION');
INSERT INTO Modele VALUES(35,'PREMIUM');
INSERT INTO Modele VALUES(36,'DELUXE');
INSERT INTO Modele VALUES(37,'COMPACT');
INSERT INTO Modele VALUES(38,'FAMILY');
INSERT INTO Modele VALUES(39,'XL');
INSERT INTO Modele VALUES(40,'XXL');
