INSERT INTO Ordre VALUES(1,'ORDRE CHEESEBURGER','AIN');
INSERT INTO Ordre VALUES(2,'ORDRE DOUBLE CHEESEBURGER','AISNE');
INSERT INTO Ordre VALUES(3,'LE GRAND  BACON BURGER','ALLIER');
INSERT INTO Ordre VALUES(4,'LE GRAND  CHICKEN BURGER','ALPES-DE-HAUTE-PROVENCE');
INSERT INTO Ordre VALUES(5,'DONER  FISH BURGER','HAUTES-ALPES');
INSERT INTO Ordre VALUES(6,'ORDRE VEGGIE BURGER','ALPES-MARITIMES');
INSERT INTO Ordre VALUES(7,'DONER  BURGER DELUXE','ARDÈCHE');
INSERT INTO Ordre VALUES(8,'SUPREME BURGER BARBECUE','ARDENNES');
INSERT INTO Ordre VALUES(9,'ORDRE BURGER SPICY','ARIÈGE');
INSERT INTO Ordre VALUES(10,'SUPREME HOT DOG','AUBE');
INSERT INTO Ordre VALUES(11,'LE GRAND  CHILI DOG','AUDE');
INSERT INTO Ordre VALUES(12,'ORDRE CORN DOG','AVEYRON');
INSERT INTO Ordre VALUES(13,'DONER  HOT DOG FROMAGE','BOUCHES-DU-RHÔNE');
INSERT INTO Ordre VALUES(14,'ORDRE HOT DOG BACON','CALVADOS');
INSERT INTO Ordre VALUES(15,'ORDRE FRITES','CANTAL');
INSERT INTO Ordre VALUES(16,'LE GRAND  FRITES CHEESE','CHARENTE');
INSERT INTO Ordre VALUES(17,'DONER  FRITES BACON','CHARENTE-MARITIME');
INSERT INTO Ordre VALUES(18,'LE GRAND  FRITES CHILI','CHER');
INSERT INTO Ordre VALUES(19,'SUPREME FRITES CURLY','CORRÈZE');
INSERT INTO Ordre VALUES(20,'ORDRE NUGGETS','CORSE-DU-SUD');
INSERT INTO Ordre VALUES(21,'LE GRAND  TENDERS POULET','HAUTE-CORSE');
INSERT INTO Ordre VALUES(22,'LE GRAND  WINGS POULET','CÔTE-DE OR');
INSERT INTO Ordre VALUES(23,'SUPREME WINGS BARBECUE','CÔTES-DE ARMOR');
INSERT INTO Ordre VALUES(24,'DONER  WINGS SPICY','CREUSE');
INSERT INTO Ordre VALUES(25,'ORDRE PIZZA MARGHERITA','DORDOGNE');
INSERT INTO Ordre VALUES(26,'DONER  PIZZA PEPPERONI','DOUBS');
INSERT INTO Ordre VALUES(27,'LE GRAND  PIZZA FROMAGE','DRÔME');
INSERT INTO Ordre VALUES(28,'SUPREME PIZZA 4 FROMAGES','EURE');
INSERT INTO Ordre VALUES(29,'LE GRAND  PIZZA BARBECUE','EURE-ET-LOIR');
INSERT INTO Ordre VALUES(30,'LE GRAND  PIZZA HAWAIENNE','FINISTÈRE');
INSERT INTO Ordre VALUES(31,'ORDRE PIZZA VIANDE','GARD');
INSERT INTO Ordre VALUES(32,'ORDRE PIZZA VEGGIE','HAUTE-GARONNE');
INSERT INTO Ordre VALUES(33,'SUPREME PIZZA POULET','GERS');
INSERT INTO Ordre VALUES(34,'LE GRAND  PEPPERONI FROMAGE','GIRONDE');
INSERT INTO Ordre VALUES(35,'ORDRE TACOS','HÉRAULT');
INSERT INTO Ordre VALUES(36,'ORDRE TACOS POULET','ILLE-ET-VILAINE');
INSERT INTO Ordre VALUES(37,'LE GRAND  TACOS BOEUF','INDRE');
INSERT INTO Ordre VALUES(38,'DONER  TACOS MIXTE','INDRE-ET-LOIRE');
INSERT INTO Ordre VALUES(39,'DONER  TACOS CORDON BLEU','ISÈRE');
INSERT INTO Ordre VALUES(40,'ORDRE KEBAB','JURA');
INSERT INTO Ordre VALUES(41,'DONER  KEBAB POULET','LANDES');
INSERT INTO Ordre VALUES(42,'ORDRE KEBAB BOEUF','LOIR-ET-CHER');
INSERT INTO Ordre VALUES(43,'LE GRAND  KEBAB MIXTE','LOIRE');
INSERT INTO Ordre VALUES(44,'DONER  KEBAB GALETTE','HAUTE-LOIRE');
INSERT INTO Ordre VALUES(45,'ORDRE WRAP POULET','LOIRE-ATLANTIQUE');
INSERT INTO Ordre VALUES(46,'SUPREME WRAP BOEUF','LOIRET');
INSERT INTO Ordre VALUES(47,'SUPREME WRAP VEGGIE','LOT');
INSERT INTO Ordre VALUES(48,'SUPREME WRAP CRISPY','LOT-ET-GARONNE');
INSERT INTO Ordre VALUES(49,'SUPREME WRAP SPICY','LOZÈRE');
INSERT INTO Ordre VALUES(50,'ORDRE SANDWICH JAMBON','MAINE-ET-LOIRE');
INSERT INTO Ordre VALUES(51,'DONER  SANDWICH POULET','MANCHE');
INSERT INTO Ordre VALUES(52,'DONER  SANDWICH THON','MARNE');
INSERT INTO Ordre VALUES(53,'DONER  SANDWICH FROMAGE','HAUTE-MARNE');
INSERT INTO Ordre VALUES(54,'DONER  SANDWICH CLUB','MAYENNE');
INSERT INTO Ordre VALUES(55,'LE GRAND  PANINI POULET','MEURTHE-ET-MOSELLE');
INSERT INTO Ordre VALUES(56,'ORDRE PANINI FROMAGE','MEUSE');
INSERT INTO Ordre VALUES(57,'SUPREME PANINI JAMBON','MORBIHAN');
INSERT INTO Ordre VALUES(58,'SUPREME PANINI THON','MOSELLE');
INSERT INTO Ordre VALUES(59,'ORDRE PANINI STEAK','NIÈVRE');
INSERT INTO Ordre VALUES(60,'LE GRAND  CROQUE MONSIEUR','NORD');
INSERT INTO Ordre VALUES(61,'SUPREME CROQUE MADAME','OISE');
INSERT INTO Ordre VALUES(62,'LE GRAND  BAGEL SAUMON','ORNE');
INSERT INTO Ordre VALUES(63,'DONER  BAGEL POULET','PAS-DE-CALAIS');
